"Geo","tick","run","random_seed"
"224.3792562512681 162.37858275417238 0.5697482358435487",1.0,1,1248708014
"319.9662558035925 10.516422218643129 0.5697482358435487",1.0,1,1248708014
"15.770243830047548 152.33460941817611 0.5697482358435487",1.0,1,1248708014
"138.64535256288946 358.5439444286749 0.5697482358435487",1.0,1,1248708014
"369.21947658993304 68.97217151708901 0.5697482358435487",1.0,1,1248708014
"224.76947735644913 162.86075384670175 0.6894547179576236",101.0,1,1248708014
"137.71575766327774 358.77492074621387 0.7182765095025513",101.0,1,1248708014
"319.6444456709561 9.243557797019324 0.6414455400919811",101.0,1,1248708014
"368.741387553251 69.53240956615413 0.5877551658425548",101.0,1,1248708014
"223.39361625338535 161.8592504388194 0.5853104578965141",101.0,1,1248708014
"15.406713290630988 153.22658257710282 0.7182765095025513",101.0,1,1248708014
"319.50526003312433 12.001425701677102 0.5853104578965141",101.0,1,1248708014
"16.414353154989346 150.9561602910125 0.5969343091556565",101.0,1,1248708014
"224.52442317564558 161.48884068200834 0.6048845291187233",101.0,1,1248708014
"319.8972796177882 10.899276103984336 0.5851396288981289",101.0,1,1248708014
"15.834735856110473 151.9911238197861 0.590300936215041",101.0,1,1248708014
"138.96563023410982 358.4353720646853 0.5778842169208928",101.0,1,1248708014
"369.81739887056494 68.79923215617777 0.6894547179576236",101.0,1,1248708014
"140.1228332394127 358.20841963761114 0.6023074613724226",101.0,1,1248708014
"320.67773594252645 9.97532638794022 0.624990363488445",101.0,1,1248708014
"367.8759777327484 68.70860842342339 0.6073300399292667",101.0,1,1248708014
"16.420245766147044 152.01275106409236 0.597995575888486",201.0,1,1248708014
"318.3895530577235 9.444738595269184 0.6823773151843838",201.0,1,1248708014
"136.07670653966315 358.8402884749626 0.7716862513465965",201.0,1,1248708014
"137.81185838115638 358.3847036050817 0.5768503951994508",201.0,1,1248708014
"369.5662955809105 70.15904650413638 0.6947375949173605",201.0,1,1248708014
"15.097227929178567 152.63972982085537 0.6165979303345093",201.0,1,1248708014
"16.634507972490344 149.2322645966931 0.6354509572107113",201.0,1,1248708014
"224.76558343621613 159.40489597660948 0.6414611901039643",201.0,1,1248708014
"136.8461810501999 357.6859030346078 0.6161482639081348",201.0,1,1248708014
"140.6101481396229 358.6259740462762 0.7018478490247626",201.0,1,1248708014
"368.1599062315271 68.13991796917784 0.6043320866688648",201.0,1,1248708014
"15.505568850017772 154.6447289699232 0.6672482290174554",201.0,1,1248708014
"225.90602581831482 162.5855101531141 0.5761269829202015",201.0,1,1248708014
"17.11895624955821 153.023583284953 0.631512071353144",201.0,1,1248708014
"15.97715027496766 153.47320801666893 0.5966391539732957",201.0,1,1248708014
"140.74497421528775 357.2185934202775 0.6364136739749449",201.0,1,1248708014
"320.6463793047814 10.331345276927653 0.7578090144297097",201.0,1,1248708014
"368.80943841004586 69.13169283585248 0.5822868337375974",201.0,1,1248708014
"224.77588355565672 162.77336439563533 0.5699138413875497",201.0,1,1248708014
"322.0045861435342 10.355209543836871 0.6015545709332895",201.0,1,1248708014
"369.75357845910594 68.39696513432217 0.5717560003174327",201.0,1,1248708014
"224.65873750692725 161.46702927565858 0.7004583860259023",201.0,1,1248708014
"318.744108848498 8.184001631660626 0.6282308984006969",201.0,1,1248708014
"368.2062209820752 70.22475608513525 0.6665085991852383",201.0,1,1248708014
"322.1115136237627 9.160072576972256 0.598704704021298",201.0,1,1248708014
"223.2548721590319 161.90674768494748 0.7569243102700938",201.0,1,1248708014
"16.596823820764644 150.72277192842185 0.7046185113910614",201.0,1,1248708014
"136.89530813971743 360.07332424301103 0.7089422168661981",201.0,1,1248708014
"13.880352192922045 153.33835472873835 0.7876576617185482",201.0,1,1248708014
"319.9657571241573 11.856483755592764 0.6912967168907937",201.0,1,1248708014
"319.0391104673938 12.905048612165405 0.7085923218038672",201.0,1,1248708014
"223.92996681059947 160.35833194759542 0.6267499323000818",201.0,1,1248708014
"319.16877948099165 10.65089277774342 0.7549862526226725",201.0,1,1248708014
"224.39701046463784 164.0820698102225 0.7929857344209968",201.0,1,1248708014
"366.78079504299245 68.28916131229965 0.7835893790834981",201.0,1,1248708014
"15.308555913445575 151.3389453442125 0.7023819585081648",201.0,1,1248708014
"141.89691215429957 357.6726147918691 0.6020627268082142",201.0,1,1248708014
"139.14364655676914 358.5571865320525 0.7672733893763432",201.0,1,1248708014
"319.99847874199247 9.003122112059675 0.7205539573785943",201.0,1,1248708014
"370.66305679809045 69.16569460698565 0.6193331290648243",201.0,1,1248708014
"17.74579888649511 149.77418935923134 0.6012275038590046",201.0,1,1248708014
"323.7583114474197 7.967282639958754 0.6119783645424237",301.0,1,1248708014
"12.343121699953134 152.66643778758407 0.6067117095087067",301.0,1,1248708014
"370.03218489578865 70.53625324801584 0.7128027854325761",301.0,1,1248708014
"15.185895976878319 152.61008482209547 0.6789727954678237",301.0,1,1248708014
"223.9483522270376 157.49338173139196 0.6776635919851474",301.0,1,1248708014
